Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Outcome
1,Mon,Plyometrics,1,Dynamic Warm-up + A-Skips,-,-,-,-,5-8 min
1,Mon,Plyometrics,2,Pogo Hops,3,20,Low intensity - sub-maximal,60s,Ankle/tendon stiffness
1,Mon,Plyometrics,3,Lateral Skater Bounds,3,8 each side,Low intensity - controlled landing,60s,Frontal-plane control
1,Mon,Plyometrics,4,Box Step-off to Stick (low box),3,5 each side,Low intensity - landing mechanics,60s,Landing mechanics
1,Mon,Plyometrics,5,Cool-down + Calf/Achilles Mobility,-,-,-,-,5 min
1,Tue,Strength A - Lower,1,Mobility Warm-up (hips/ankles),-,-,-,-,5-8 min
1,Tue,Strength A - Lower,2,Back Squat,5,5,72-75% (RIR 3),2-3 min,Main lift - heavy strength for running economy
1,Tue,Strength A - Lower,3,Bulgarian Split Squat,3,8 each leg,RIR 2-3,90s,Unilateral strength
1,Tue,Strength A - Lower,4,Standing Calf Raise,4,8,RIR 2-3,60-90s,Tendon/ankle stiffness
1,Tue,Strength A - Lower,5,Front Plank or Pallof Press,3,30-40s / 10 each side,RIR 2-3,45-60s,Trunk stability
1,Wed,Easy Run,1,Warm-up Walk/Jog,-,-,-,-,5 min
1,Wed,Easy Run,2,Zone 2 Continuous Run,1,30 min,60-70% HRmax,-,Conversational pace - aerobic base
1,Wed,Easy Run,3,Cool-down + Stretch,-,-,-,-,5 min
1,Thu,Hard Run - Threshold,1,Progressive Warm-up + Strides,-,-,-,-,10 min
1,Thu,Hard Run - Threshold,2,Threshold Intervals,6,2 min,Threshold effort (comfortably hard),90s jog,Lactate threshold
1,Thu,Hard Run - Threshold,3,Cool-down Jog,-,-,-,-,10 min
1,Fri,Strength B - Posterior/Upper,1,Mobility Warm-up (hips/T-spine),-,-,-,-,5-8 min
1,Fri,Strength B - Posterior/Upper,2,Romanian Deadlift,4,6,75-78% (RIR 2-3),2-3 min,Posterior chain strength
1,Fri,Strength B - Posterior/Upper,3,Hip Thrust,3,8,RIR 2-3,90s,Glute drive/propulsion
