Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
1,Mon,Lower A: Glute & Hamstring Focus,1,Hip Thrust,4,8,RIR 2-3,2 min,"Baseline week. Squeeze glutes hard at the top, no lower back arching to finish the rep."
1,Mon,Lower A: Glute & Hamstring Focus,2,Romanian Deadlift,3,10,RIR 2-3,2 min,
1,Mon,Lower A: Glute & Hamstring Focus,3,Bulgarian Split Squat,3,10/side,RIR 2,90 sec,
1,Mon,Lower A: Glute & Hamstring Focus,4,Cable Glute Kickback,3,12-15,RIR 1-2,60 sec,
1,Mon,Lower A: Glute & Hamstring Focus,5,Seated Leg Curl,3,12,RIR 1-2,60 sec,
1,Tue,Upper A: Shoulders & Back,1,Lat Pulldown,4,10,RIR 2-3,2 min,
1,Tue,Upper A: Shoulders & Back,2,DB Shoulder Press,3,10,RIR 2-3,90 sec,
1,Tue,Upper A: Shoulders & Back,3,Cable Row,3,10,RIR 2,90 sec,
1,Tue,Upper A: Shoulders & Back,4,Lateral Raise,4,15,RIR 1-2,60 sec,
1,Tue,Upper A: Shoulders & Back,5,Rear Delt Fly,3,15,RIR 1-2,60 sec,
1,Wed,Rest,,,,,,,"Optional light zone 2 cardio, not progressed."
1,Thu,Lower B: Quad & Glute Secondary,1,Back Squat,4,8,RIR 2-3,2-3 min,
1,Thu,Lower B: Quad & Glute Secondary,2,Walking Lunge,3,10/side,RIR 2,90 sec,
1,Thu,Lower B: Quad & Glute Secondary,3,Leg Press (Feet High and Wide),3,12,RIR 2,90 sec,Foot position biases glutes over quads.
1,Thu,Lower B: Quad & Glute Secondary,4,Hip Abduction Machine,3,15,RIR 1-2,60 sec,
1,Thu,Lower B: Quad & Glute Secondary,5,Standing Calf Raise,3,15,RIR 1-2,60 sec,
1,Fri,"Upper B: Chest, Arms & Core",1,Incline DB Press,4,10,RIR 2-3,2 min,
1,Fri,"Upper B: Chest, Arms & Core",2,Seated Row,3,10,RIR 2,90 sec,
1,Fri,"Upper B: Chest, Arms & Core",3,Bicep Curl,3,12,RIR 1-2,60 sec,
1,Fri,"Upper B: Chest, Arms & Core",4,Overhead Triceps Extension,3,12,RIR 1-2,60 sec,
1,Fri,"Upper B: Chest, Arms & Core",5,Cable Pallof Press,3,12/side,RIR 2,60 sec,
1,Sat,"Accessory: Glutes, Arms & Core",1,Cable Pull Through,3,12,RIR 2,90 sec,Second glute/hamstring stimulus through a different pattern than the RDL and hip thrust.
1,Sat,"Accessory: Glutes, Arms & Core",2,Standing Hip Adduction,3,15,RIR 1-2,60 sec,Balances the abduction work from Lower B.
1,Sat,"Accessory: Glutes, Arms & Core",3,Seated Calf Raise,3,15,RIR 1-2,60 sec,"Soleus focused, complements the standing calf raise."
1,Sat,"Accessory: Glutes, Arms & Core",4,Cable Crunch,3,15,RIR 1-2,60 sec,
1,Sat,"Accessory: Glutes, Arms & Core",5,Hanging Knee Raise,3,12,RIR 1-2,60 sec,
1,Sat,"Accessory: Glutes, Arms & Core",6,Face Pull,3,15,RIR 1-2,60 sec,
1,Sat,"Accessory: Glutes, Arms & Core",7,Hammer Curl,2,12,RIR 1-2,45 sec,
1,Sat,"Accessory: Glutes, Arms & Core",8,Cable Triceps Kickback,2,12,RIR 1-2,45 sec,
1,Sun,Rest,,,,,,,
