Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
13,Thu,Heavy Deadlift Strength,1,Competition Deadlift,1,2,83% (220kg) RIR 2,3-4 min,"Last real strength touch before the meet. Sharp and fast, then done - no backoff sets, no grinding."
13,Fri,Squat & Quad,1,Back Squat,2,3,RIR 4,2-3 min,"Light. Mobility-focused, not a training stimulus."
13,Sat,Rest,,,,,,,
13,Sun,Deadlift Speed & Technical,1,Speed Deadlift (bands),3,1,55% (146kg) + light band,60 sec,Keep the pattern crisp. This is the last time you touch a heavier bar speed before the openers rehearsal in fight week.
13,Mon,Posterior Chain & Grip,1,Hip Thrust,1,8,RIR 4-5,90 sec,"Light maintenance only - blood flow, not fatigue."
13,Tue,Recovery,1,Mobility / Easy Walk,1,10-15 min,Easy,,"Full rest is also acceptable this day. Priority this week: sleep 8+ hours, hydration, consistent meals."
13,Wed,Rest,,,,,,,
14,Thu (Dec 3),Openers Rehearsal,1,Competition Deadlift,1,1,75% (199kg),n/a,"Movement rehearsal only - fast, clean, done in under 10 minutes on the bar. This is about feel and confidence, not load."
14,Thu (Dec 3),Openers Rehearsal,2,Mobility / Activation,1,10 min,Easy,,"Hips, hamstrings, upper back. Nothing that leaves you sore."
14,Fri (Dec 4),Full Rest,,,,,,,"No training. Sleep is the priority. Carb-up and hydrate deliberately (dietician lens - glycogen availability matters for tomorrow). Run your competition-day routine mentally: warm-up timing, opener, cues. This is where the meet is actually won or lost."
14,Sat (Dec 5) - MEET DAY,Night of the Deadlift - Brisbane,1,Competition Deadlift - Attempt 1 (Opener),1,1,250kg if Week 11 checkpoint confirmed (else ~97% of actual checkpoint),n/a,"Only a fixed 250kg if the checkpoint single moved clean at RIR 1-2+. If it didn't, the opener scales down off what the checkpoint actually showed - an opener is a guaranteed make, not a hope."
14,Sat (Dec 5) - MEET DAY,Night of the Deadlift - Brisbane,2,Competition Deadlift - Attempt 2,1,1,~258kg (~103% of opener),n/a,This is the lift that pushes past everything touched in training. Autoregulate off how the opener moved.
14,Sat (Dec 5) - MEET DAY,Night of the Deadlift - Brisbane,3,Competition Deadlift - Attempt 3,1,1,PR territory - autoregulated on the day (target 263-270kg if Attempt 2 was fast),n/a,"This is the one where we forget the goal and see where we get to. If Attempt 2 moved fast, push toward the top of that range. If it was a fight, take the safe PR increment instead of the swing."
