Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Outcome
1,Mon,Lower A,1,Back Squat,4,5,75-78% (RIR 2-3),2-3 min,Strength
1,Mon,Lower A,2,Romanian Deadlift,3,10-12,65-70% (RIR 1-2),90s,Hamstring hypertrophy
1,Mon,Lower A,3,Leg Press or Walking Lunge,3,10-12,65-70% (RIR 1-2),90s,Quad hypertrophy
1,Mon,Lower A,4,Leg Extension,3,12-15,60-65% (RIR 1-2),60s,Quad hypertrophy
1,Mon,Lower A,5,Calf Raise,3,12-15,60-65% (RIR 1-2),45s,Calf hypertrophy
1,Mon,Lower A,6,Hanging Leg Raise,3,10,Bodyweight,45s,Core strength
1,Tue,Upper A,1,Bench Press,4,5,75-78% (RIR 2-3),2-3 min,Strength
1,Tue,Upper A,2,Barbell or Chest-Supported Row,4,8-10,70-75% (RIR 1-2),90s,Back hypertrophy
1,Tue,Upper A,3,Incline DB Press,3,10-12,65-70% (RIR 1-2),90s,Chest hypertrophy
1,Tue,Upper A,4,Lat Pulldown,3,10-12,65-70% (RIR 1-2),90s,Back hypertrophy
1,Tue,Upper A,5,Lateral Raise,3,12-15,60-65% (RIR 1-2),45s,Shoulder hypertrophy
1,Tue,Upper A,6,Bicep Curl,3,12-15,60-65% (RIR 1-2),45s,Arm hypertrophy
1,Tue,Upper A,7,Triceps Pushdown,3,12-15,60-65% (RIR 1-2),45s,Arm hypertrophy
1,Wed,Capacity - Optional,1,Zone 2 Continuous (any modality),1,20-30 min,60-70% HRmax,-,Recovery
1,Thu,Lower B,1,Deadlift (conventional or trap bar),4,5,75-78% (RIR 2-3),2-3 min,Strength
1,Thu,Lower B,2,Front Squat or Goblet Squat,3,10-12,65-70% (RIR 1-2),90s,Quad hypertrophy
1,Thu,Lower B,3,Bulgarian Split Squat,3,10/leg,65-70% (RIR 1-2),90s,Glute/quad hypertrophy
1,Thu,Lower B,4,Hip Thrust,3,10-12,65-70% (RIR 1-2),90s,Glute hypertrophy
1,Thu,Lower B,5,Leg Curl,3,12-15,60-65% (RIR 1-2),60s,Hamstring hypertrophy
1,Thu,Lower B,6,Calf Raise,3,12-15,60-65% (RIR 1-2),45s,Calf hypertrophy
1,Thu,Lower B,7,Pallof Press,3,10/side,Bodyweight/band,45s,Core stability
1,Fri,Upper B,1,Overhead Press,4,5,75-78% (RIR 2-3),2-3 min,Strength
1,Fri,Upper B,2,Weighted Pull-up or Lat Pulldown (heavy),4,8-10,70-75% (RIR 1-2),90s,Back hypertrophy
1,Fri,Upper B,3,Dips or Close-Grip Bench,3,10-12,65-70% (RIR 1-2),90s,Chest/triceps hypertrophy
1,Fri,Upper B,4,Cable Row or Face Pull,3,12-15,60-65% (RIR 1-2),60s,Upper back/rear delt hypertrophy
1,Fri,Upper B,5,DB Lateral Raise,3,12-15,60-65% (RIR 1-2),45s,Shoulder hypertrophy
1,Fri,Upper B,6,Hammer Curl,3,12-15,60-65% (RIR 1-2),45s,Arm hypertrophy
1,Fri,Upper B,7,Overhead Triceps Extension,3,12-15,60-65% (RIR 1-2),45s,Arm hypertrophy
1,Sat,Capacity - Optional,1,Zone 2 Continuous (any modality),1,20-30 min,60-70% HRmax,-,Recovery
