Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
1,Mon,Lower Strength + Power,1,Mobility Warm-up (hip/ankle/T-spine),-,-,-,-,5-8 min
1,Mon,Lower Strength + Power,2,Sprint Acceleration Drill,4,10-15m,Full effort,Full recovery,Speed primer - done fresh
1,Mon,Lower Strength + Power,3,Box Jump / Squat Jump,4,3,Max intent,2-3 min,Power - quality over fatigue
1,Mon,Lower Strength + Power,4,Back Squat,4,4,RIR 3,2-3 min,Main lift - baseline load
1,Mon,Lower Strength + Power,5,RDL or Good Morning,3,6-8,RIR 2-3,90s,Secondary - hinge pattern
1,Mon,Lower Strength + Power,6,Bulgarian Split Squat,3,8/leg,RIR 2-3,60-90s,Accessory
1,Mon,Lower Strength + Power,7,Pallof Press,3,10/side,-,45s,Core
1,Tue,Capacity - Aerobic,1,Easy Warm-up,-,-,-,-,5 min
1,Tue,Capacity - Aerobic,2,Zone 2 Continuous (bike/rower/ski erg/treadmill),1,35-40 min,60-70% HRmax,-,Conversational pace
1,Tue,Capacity - Aerobic,3,Cool-down + Mobility,-,-,-,-,5 min
1,Wed,Upper Strength + Power,1,Shoulder/T-spine Mobility + Band Work,-,-,-,-,5-8 min
1,Wed,Upper Strength + Power,2,Med Ball Rotational Throw,4,3-5,Max intent,Full recovery,Power
1,Wed,Upper Strength + Power,3,Bench Press,4,4,RIR 3,2-3 min,Main lift - horizontal press
1,Wed,Upper Strength + Power,4,Weighted Pull-up or Row,3,6-8,RIR 2-3,90s,Secondary - pull pattern
1,Wed,Upper Strength + Power,5,DB Shoulder Press,3,8,RIR 2-3,60-90s,Accessory
1,Wed,Upper Strength + Power,6,Face Pull,3,12-15,-,45s,Accessory
1,Wed,Upper Strength + Power,7,Hanging Leg Raise,3,10,-,45s,Core
1,Thu,Capacity - Anaerobic,1,Progressive Warm-up,-,-,-,-,5-8 min
1,Thu,Capacity - Anaerobic,2,Max Effort Intervals (bike/ski erg/shuttle/treadmill),8,30s,Max effort,120-150s easy,Repeated-effort - glycolytic
1,Thu,Capacity - Anaerobic,3,Cool-down + Stretch,-,-,-,-,5-10 min
1,Fri,Lower Strength + Power #2,1,Mobility Warm-up + Change of Direction Drills,5-6 reps,-,Full effort,Full recovery,Speed/agility primer
1,Fri,Lower Strength + Power #2,2,Broad Jump or Single-leg Bound,4,3,Max intent,2-3 min,Power
1,Fri,Lower Strength + Power #2,3,Trap Bar / Conventional Deadlift,4,4,RIR 3,2-3 min,Main lift - hinge pattern
1,Fri,Lower Strength + Power #2,4,Front Squat or Goblet Squat,3,6-8,RIR 2-3,90s,Secondary - squat pattern
1,Fri,Lower Strength + Power #2,5,Hip Thrust,3,10,RIR 2-3,60-90s,Accessory
1,Fri,Lower Strength + Power #2,6,Side Plank,3,30-45s/side,-,45s,Core
1,Sat,Upper Strength + Power #2,1,Mobility Warm-up,-,-,-,-,5-8 min
1,Sat,Upper Strength + Power #2,2,Overhead Med Ball Throw or Plyo Push-up,4,3-5,Max intent,Full recovery,Power
1,Sat,Upper Strength + Power #2,3,Overhead Press,4,4,RIR 3,2-3 min,Main lift - vertical press
1,Sat,Upper Strength + Power #2,4,Chin-up or Lat Pulldown,3,6-8,RIR 2-3,90s,Secondary - pull pattern
1,Sat,Upper Strength + Power #2,5,Incline DB Press or Dips,3,8,RIR 2-3,60-90s,Accessory
1,Sat,Upper Strength + Power #2,6,Band Pull-apart,3,12-15,-,45s,Accessory
1,Sat,Upper Strength + Power #2,7,Rollout or Dead Bug,3,10,-,45s,Core
2,Mon,Lower Strength + Power,1,Mobility Warm-up (hip/ankle/T-spine),-,-,-,-,5-8 min
2,Mon,Lower Strength + Power,2,Sprint Acceleration Drill,4,15-20m,Full effort,Full recovery,Speed primer - distance nudged up
2,Mon,Lower Strength + Power,3,Box Jump / Squat Jump,4,3,Max intent,2-3 min,Power - hold volume, chase quality
2,Mon,Lower Strength + Power,4,Back Squat,5,4,RIR 2-3,2-3 min,Main lift - +1 set (volume lever)
2,Mon,Lower Strength + Power,5,RDL or Good Morning,4,6-8,RIR 2-3,90s,Secondary - +1 set
