Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Focus
5,Mon,Deadlift Strength,1,Conventional Deadlift,3,4,77.5% (182kg),3-4 min,Main lift — primary strength driver
5,Mon,Deadlift Strength,2,Pause Deadlift (pause at knee),3,3,62.5% (147kg),3 min,Sticking-point overload — mid-shin/knee transition
5,Mon,Deadlift Strength,3,Barbell Row,3,6,RIR 2,90s,Lat/upper back — bar path control
5,Mon,Deadlift Strength,4,Weighted Plank,3,40s,-,60s,Core/bracing
5,Tue,Squat / Quad Emphasis,1,Box Squat,3,6,RIR 2,2-3 min,"Hip/glute power — explosive drive off a dead stop, conjugate rotation from Zercher Squat"
5,Tue,Squat / Quad Emphasis,2,Bulgarian Split Squat,3,8/leg,RIR 2,90s,Unilateral quad/glute
5,Tue,Squat / Quad Emphasis,3,Bench Press,3,6,RIR 2,2-3 min,Upper body push strength
5,Tue,Squat / Quad Emphasis,4,Face Pull,3,15,RIR 2,60s,Rear delt/upper back health
5,Wed,Rest,-,Rest,-,-,-,-,Full rest
5,Thu,Deadlift Technical + Pull,1,Deficit Deadlift,3,4,65% (153kg),3 min,Off-floor drive overload — feeds knee-transition strength
5,Thu,Deadlift Technical + Pull,2,Pull-up / Lat Pulldown,3,6,RIR 2,90s,Lat strength — bar path control
5,Thu,Deadlift Technical + Pull,3,Cable Lateral Raise,3,15,RIR 2,60s,Shoulder strength/size — replaces OHP
5,Thu,Deadlift Technical + Pull,4,Suitcase Carry,3,25m/side,-,60s,"Core anti-lateral-flexion, grip"
5,Fri,Posterior Chain / Hip-Glute,1,Romanian Deadlift,3,6,RIR 2,2-3 min,Posterior chain — hip hinge strength
5,Fri,Posterior Chain / Hip-Glute,2,Good Morning,3,6,RIR 2,2 min,Posterior chain — supports lockout
5,Fri,Posterior Chain / Hip-Glute,3,Hip Thrust,3,8,RIR 2,90s,Glute strength — lockout drive
5,Fri,Posterior Chain / Hip-Glute,4,Banded Lateral Walk,3,12/side,-,45s,Hip stability
5,Sat,Upper Body + Accessories,1,Incline Bench Press,3,6,RIR 2,2 min,Upper body push strength
5,Sat,Upper Body + Accessories,2,Chest-Supported Row,3,6,RIR 2,2 min,Upper body pull strength
5,Sat,Upper Body + Accessories,3,DB Lateral Raise,3,12,RIR 2,60s,Shoulder health/size
5,Sat,Upper Body + Accessories,4,EZ-Bar Curl + Triceps Pushdown,3,10,RIR 2,60s,Arm accessory work
5,Sun,Rest,-,Rest,-,-,-,-,Full rest
6,Mon,Deadlift Strength,1,Conventional Deadlift,4,4,80% (188kg),3-4 min,Main lift — primary strength driver
6,Mon,Deadlift Strength,2,Pause Deadlift (pause at knee),3,3,65% (153kg),3 min,Sticking-point overload — mid-shin/knee transition
6,Mon,Deadlift Strength,3,Barbell Row,4,6,RIR 2,90s,Lat/upper back — bar path control
6,Mon,Deadlift Strength,4,Weighted Plank,3,45s,-,60s,Core/bracing
6,Tue,Squat / Quad Emphasis,1,Box Squat,4,6,RIR 2,2-3 min,"Hip/glute power — explosive drive off a dead stop, conjugate rotation from Zercher Squat"
6,Tue,Squat / Quad Emphasis,2,Bulgarian Split Squat,3,8/leg,RIR 2,90s,Unilateral quad/glute
6,Tue,Squat / Quad Emphasis,3,Bench Press,4,6,RIR 2,2-3 min,Upper body push strength
6,Tue,Squat / Quad Emphasis,4,Face Pull,3,15,RIR 2,60s,Rear delt/upper back health
6,Wed,Rest,-,Rest,-,-,-,-,Full rest
6,Thu,Deadlift Technical + Pull,1,Deficit Deadlift,3,5,67.5% (159kg),3 min,Off-floor drive overload — feeds knee-transition strength
6,Thu,Deadlift Technical + Pull,2,Pull-up / Lat Pulldown,4,6,RIR 2,90s,Lat strength — bar path control
6,Thu,Deadlift Technical + Pull,3,Cable Lateral Raise,4,15,RIR 2,60s,Shoulder strength/size — replaces OHP
6,Thu,Deadlift Technical + Pull,4,Suitcase Carry,3,30m/side,-,60s,"Core anti-lateral-flexion, grip"
6,Fri,Posterior Chain / Hip-Glute,1,Romanian Deadlift,4,6,RIR 2,2-3 min,Posterior chain — hip hinge strength
6,Fri,Posterior Chain / Hip-Glute,2,Good Morning,3,8,RIR 2,2 min,Posterior chain — supports lockout
6,Fri,Posterior Chain / Hip-Glute,3,Hip Thrust,4,8,RIR 2,90s,Glute strength — lockout drive
6,Fri,Posterior Chain / Hip-Glute,4,Banded Lateral Walk,3,12/side,-,45s,Hip stability
6,Sat,Upper Body + Accessories,1,Incline Bench Press,4,6,RIR 2,2 min,Upper body push strength
6,Sat,Upper Body + Accessories,2,Chest-Supported Row,4,6,RIR 2,2 min,Upper body pull strength
6,Sat,Upper Body + Accessories,3,DB Lateral Raise,3,12,RIR 2,60s,Shoulder health/size
6,Sat,Upper Body + Accessories,4,EZ-Bar Curl + Triceps Pushdown,3,10,RIR 2,60s,Arm accessory work
6,Sun,Rest,-,Rest,-,-,-,-,Full rest
7,Mon,Deadlift Strength,1,Conventional Deadlift,3,2,87.5% (206kg),3-4 min,Main lift — primary strength driver
7,Mon,Deadlift Strength,2,Pause Deadlift (pause at knee),3,2,70% (164kg),3 min,Sticking-point overload — mid-shin/knee transition
7,Mon,Deadlift Strength,3,Barbell Row,3,5,RIR 1-2,90s,Lat/upper back — bar path control
