Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
1,Mon,Heavy Strength + Tendon,1,Trap Bar Deadlift,4,5,RIR 3,2-3 min,"Baseline week. This is the primary driver, heavy loading beats plyos alone for running economy."
1,Mon,Heavy Strength + Tendon,2,Single Leg RDL (DB),3,8/side,RIR 3,90 sec,Controls the hip hinge under single leg load. Mirrors stance phase of the running gait.
1,Mon,Heavy Strength + Tendon,3,Bulgarian Split Squat,3,8/side,RIR 3,90 sec,
1,Mon,Heavy Strength + Tendon,4,Heavy Calf Raise (slow tempo),3,8,RIR 3,90 sec,"3 sec up, 3 sec down. Load drives tendon stiffness, tempo is not optional here."
1,Mon,Heavy Strength + Tendon,5,Pallof Press,3,10/side,Controlled,60 sec,
1,Mon,Heavy Strength + Tendon,6,Chest Supported Row,3,10,RIR 2-3,90 sec,"Upper back endurance for arm swing mechanics late in a run. Chest pinned to the pad, no swinging."
1,Tue,Running (client's own plan),,,,,,,"Strength days sit alongside your running, not against it. Keep these sessions light on the legs heading into a hard run or long run."
1,Wed,Plyometric Power,1,Pogo Hops,3,10-15 sec,Fast ground contact,60 sec,"Stiff ankle, minimal knee bend. General prep, not max effort."
1,Wed,Plyometric Power,2,Double Leg Broad Bound,3,5,Full recovery,90 sec,"Distance over reps. Full reset between attempts, this is not conditioning."
1,Wed,Plyometric Power,3,Lateral Skater Bound,3,5/side,Full recovery,90 sec,
1,Wed,Plyometric Power,4,Box Jump (moderate height),3,5,Full recovery,90 sec,"Step down, do not jump down. Landing quality over box height."
1,Wed,Plyometric Power,5,Single Leg Hop in Place,2,6/side,Controlled,60 sec,Introduces single leg landing control ahead of Week 2's bounding progression.
1,Thu,Running (client's own plan),,,,,,,
1,Fri,Single Leg Strength + Hip and Tendon Resilience,1,Single Leg Squat (to box),3,8/side,RIR 3,90 sec,
1,Fri,Single Leg Strength + Hip and Tendon Resilience,2,Copenhagen Plank (bent knee),3,20 sec/side,Controlled,60 sec,"Adductor strength, the most commonly missed muscle group in running programs."
1,Fri,Single Leg Strength + Hip and Tendon Resilience,3,Standing Hip Abduction (cable/band),3,12/side,RIR 2,60 sec,
