Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
1,Mon,Lower A,1,Back Squat,4,8,RIR 3,2-3 min,Baseline week. Establish loads and bar path.
1,Mon,Lower A,2,Romanian Deadlift,3,10,RIR 3,2 min,
1,Mon,Lower A,3,Leg Press,3,12,RIR 2,90 sec,
1,Mon,Lower A,4,Leg Curl,3,12,RIR 2,90 sec,
1,Mon,Lower A,5,Calf Raise,3,15,RIR 2,60 sec,
1,Tue,Aerobic Capacity,1,Zone 2 Cardio (bike/row/run),1,30 min,~60-70% max HR,,Aerobic base building starts now and runs the full 13 weeks.
1,Wed,Upper A,1,Bench Press,4,8,RIR 3,2-3 min,
1,Wed,Upper A,2,Seated Row,4,10,RIR 3,2 min,
1,Wed,Upper A,3,DB Shoulder Press,3,10,RIR 2,90 sec,
1,Wed,Upper A,4,Lat Pulldown,3,12,RIR 2,90 sec,
1,Wed,Upper A,5,Lateral Raise,3,15,RIR 1-2,60 sec,
1,Wed,Upper A,6,Triceps Pushdown,3,12,RIR 2,60 sec,
1,Thu,Anaerobic Capacity,1,Intervals (bike/shuttle),6,30 sec hard / 90 sec easy,Low volume,,Maintenance dose only. Hypertrophy block priority is the gym work.
1,Fri,Lower B,1,Deadlift,4,6,RIR 3,2-3 min,
1,Fri,Lower B,2,Split Squat,3,10/side,RIR 3,90 sec,
1,Fri,Lower B,3,Hip Thrust,3,10,RIR 2,90 sec,
1,Fri,Lower B,4,Leg Extension,3,12,RIR 2,60 sec,
1,Fri,Lower B,5,Standing Calf Raise,3,15,RIR 2,60 sec,
1,Sat,Upper B,1,Weighted Pull Up,4,8,RIR 3,2-3 min,
1,Sat,Upper B,2,Incline DB Press,4,10,RIR 3,2 min,
1,Sat,Upper B,3,Cable Row,3,10,RIR 2,90 sec,
1,Sat,Upper B,4,Arnold Press,3,10,RIR 2,90 sec,
1,Sat,Upper B,5,Bicep Curl,3,12,RIR 1-2,60 sec,
1,Sat,Upper B,6,Face Pull,3,15,RIR 2,60 sec,
1,Sun,Rest,,,,,,,
2,Mon,Lower A,1,Back Squat,5,8,RIR 3,2-3 min,Volume week. One more set than Week 1 across the board.
2,Mon,Lower A,2,Romanian Deadlift,4,10,RIR 3,2 min,
2,Mon,Lower A,3,Leg Press,4,12,RIR 2,90 sec,
2,Mon,Lower A,4,Leg Curl,4,12,RIR 2,90 sec,
2,Mon,Lower A,5,Calf Raise,4,15,RIR 2,60 sec,
2,Tue,Aerobic Capacity,1,Zone 2 Cardio (bike/row/run),1,35 min,~60-70% max HR,,
2,Wed,Upper A,1,Bench Press,5,8,RIR 3,2-3 min,
2,Wed,Upper A,2,Seated Row,5,10,RIR 3,2 min,
2,Wed,Upper A,3,DB Shoulder Press,4,10,RIR 2,90 sec,
2,Wed,Upper A,4,Lat Pulldown,4,12,RIR 2,90 sec,
2,Wed,Upper A,5,Lateral Raise,4,15,RIR 1-2,60 sec,
2,Wed,Upper A,6,Triceps Pushdown,4,12,RIR 2,60 sec,
2,Thu,Anaerobic Capacity,1,Intervals (bike/shuttle),7,30 sec hard / 90 sec easy,Low-moderate volume,,
2,Fri,Lower B,1,Deadlift,5,6,RIR 3,2-3 min,
2,Fri,Lower B,2,Split Squat,4,10/side,RIR 3,90 sec,
2,Fri,Lower B,3,Hip Thrust,4,10,RIR 2,90 sec,
2,Fri,Lower B,4,Leg Extension,4,12,RIR 2,60 sec,
2,Fri,Lower B,5,Standing Calf Raise,4,15,RIR 2,60 sec,
2,Sat,Upper B,1,Weighted Pull Up,5,8,RIR 3,2-3 min,
2,Sat,Upper B,2,Incline DB Press,5,10,RIR 3,2 min,
2,Sat,Upper B,3,Cable Row,4,10,RIR 2,90 sec,
2,Sat,Upper B,4,Arnold Press,4,10,RIR 2,90 sec,
2,Sat,Upper B,5,Bicep Curl,4,12,RIR 1-2,60 sec,
2,Sat,Upper B,6,Face Pull,4,15,RIR 2,60 sec,
2,Sun,Rest,,,,,,,
3,Mon,Lower A,1,Back Squat,4,6,RIR 2,2-3 min,"Intensity week. Load goes up, reps come down, sets pull back from Week 2's peak volume."
3,Mon,Lower A,2,Romanian Deadlift,3,8,RIR 2,2 min,
3,Mon,Lower A,3,Leg Press,3,10,RIR 2,90 sec,
3,Mon,Lower A,4,Leg Curl,3,10,RIR 2,90 sec,
3,Mon,Lower A,5,Calf Raise,3,12,RIR 1-2,60 sec,
3,Tue,Aerobic Capacity,1,Zone 2 Cardio (bike/row/run),1,35-40 min,~60-70% max HR,,
3,Wed,Upper A,1,Bench Press,4,6,RIR 2,2-3 min,
3,Wed,Upper A,2,Seated Row,4,8,RIR 2,2 min,
3,Wed,Upper A,3,DB Shoulder Press,3,8,RIR 2,90 sec,
3,Wed,Upper A,4,Lat Pulldown,3,10,RIR 2,90 sec,
3,Wed,Upper A,5,Lateral Raise,3,12,RIR 1-2,60 sec,
3,Wed,Upper A,6,Triceps Pushdown,3,10,RIR 1-2,60 sec,
3,Thu,Anaerobic Capacity,1,Intervals (bike/shuttle),8,30 sec hard / 90 sec easy,Peak volume of the block,,
