Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
5,Thu,Heavy Deadlift Strength,1,Competition Deadlift,3,2,80% (212kg),3-4 min,"Strength Build block starts. Heavier, fewer reps than Block 1 - this is where the max goes up."
5,Thu,Heavy Deadlift Strength,1b,Competition Deadlift (backoff),2,3,72% (191kg),3 min,
5,Thu,Heavy Deadlift Strength,2,Pause Deadlift (2ct below knee),3,2,65% (172kg),3 min,Pause replaces the deficit work this block - now training lockout position control instead of off-the-floor strength.
5,Thu,Heavy Deadlift Strength,3,Pendlay Row,4,5,RIR 3,2 min,
5,Thu,Heavy Deadlift Strength,4,Suitcase Carry,3,30m/side,RIR 3,90 sec,
5,Fri,Squat & Quad,1,Back Squat,4,4,RIR 3,3 min,
5,Fri,Squat & Quad,2,Bulgarian Split Squat,3,6/side,RIR 3,2 min,
5,Fri,Squat & Quad,3,Leg Curl,3,8,RIR 3,90 sec,
5,Fri,Squat & Quad,4,Standing Calf Raise,3,10,RIR 3,60 sec,
5,Sat,Rest,,,,,,,
5,Sun,Deadlift Speed & Technical,1,Speed Deadlift (bands),8,1,58% (154kg) + moderate band,60 sec,"Band tension keeps stepping up across the program - the accommodating resistance forces max bar speed through the whole pull, not just off the floor."
5,Sun,Deadlift Speed & Technical,2,Rack Pull (top-half; from knee),3,3,RIR 2,2-3 min,"Partial range so this is prescribed on RIR, not %1RM - it will move heavier weight than a full pull."
5,Sun,Deadlift Speed & Technical,3,Lat Pulldown,3,8,RIR 3,90 sec,
5,Sun,Deadlift Speed & Technical,4,Band Pull-Apart,3,15,RIR 3,60 sec,
5,Mon,Posterior Chain & Grip,1,Romanian Deadlift,3,8,RIR 2-3,2-3 min,
5,Mon,Posterior Chain & Grip,2,Hip Thrust,3,8,RIR 2-3,2 min,
5,Mon,Posterior Chain & Grip,3,Back Extension,3,10,RIR 2-3,90 sec,
5,Mon,Posterior Chain & Grip,4,Farmer's Carry,3,35m,RIR 2-3,90 sec,
5,Mon,Posterior Chain & Grip,5,Dead Hang,3,25 sec,RIR 2-3,60 sec,
5,Tue,Upper Body & Core,1,Bench Press,4,5,RIR 3,2-3 min,
5,Tue,Upper Body & Core,2,DB Shoulder Press,3,6,RIR 3,2 min,
5,Tue,Upper Body & Core,3,Ab Wheel Rollout,3,8,RIR 3,90 sec,
5,Tue,Upper Body & Core,4,Zone 2 Cardio (bike/row),1,15 min,~60-70% max HR,,
5,Wed,Rest,,,,,,,
6,Thu,Heavy Deadlift Strength,1,Competition Deadlift,4,2,81% (215kg),3-4 min,Volume week - one more top set than Week 5.
6,Thu,Heavy Deadlift Strength,1b,Competition Deadlift (backoff),3,3,72% (191kg),3 min,
6,Thu,Heavy Deadlift Strength,2,Pause Deadlift (2ct below knee),4,2,66% (175kg),3 min,
6,Thu,Heavy Deadlift Strength,3,Pendlay Row,4,5,RIR 3,2 min,
6,Thu,Heavy Deadlift Strength,4,Suitcase Carry,3,35m/side,RIR 3,90 sec,
6,Fri,Squat & Quad,1,Back Squat,5,4,RIR 3,3 min,
6,Fri,Squat & Quad,2,Bulgarian Split Squat,4,6/side,RIR 3,2 min,
6,Fri,Squat & Quad,3,Leg Curl,4,8,RIR 3,90 sec,
6,Fri,Squat & Quad,4,Standing Calf Raise,3,10,RIR 3,60 sec,
6,Sat,Rest,,,,,,,
6,Sun,Deadlift Speed & Technical,1,Speed Deadlift (bands),8,1,60% (159kg) + moderate band,60 sec,
6,Sun,Deadlift Speed & Technical,2,Rack Pull (top-half; from knee),4,3,RIR 2,2-3 min,
